Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
24;2;3;0.999202900536193;0.061858109782067;4;5;2;no;0.9646149132152964
25;2;3;0.8120552158371301;0.13489081608051312;14;7;2;no;0.9599850586522514
26;1;5;0.7881060574076855;0.2241406389091503;6;5;2;yes;0.9453408715104947
27;2;3;0.9609346778484551;0.0055681313764448055;13;3;1;no;0.9517131932218414
28;1;1;0.7897198003398954;0.1339179274300731;13;5;1;yes;0.9405449143904286
29;2;5;0.6200285500171286;0.22628621969750126;7;3;1;yes;0.9458346612698048
30;1;5;0.07419801842383111;0.027942512906878308;2;5;2;no;0.9644378626089206
31;2;3;0.6357741221432585;0.15526301630601555;15;3;1;no;0.9580219389961545
32;2;5;0.36516111174772237;0.17788178564502333;6;3;3;yes;0.9589790951205671
33;2;3;0.12173728298318998;0.2433380267299943;5;7;2;yes;0.956459424501257
34;1;1;0.6043968667858496;0.04554692904261584;7;5;1;yes;0.9429005708308633
35;2;3;0.6293600285391014;0.01880519204054362;1;3;3;yes;0.9603932867810189
36;2;5;0.06593270642114468;0.2633776970741645;14;5;1;no;0.9600012295320878
37;1;3;0.01879541176003663;0.02307347777824578;5;3;1;yes;0.9674842499118894
38;2;3;0.7270787204970627;0.01653318521835911;1;7;3;no;0.9594189153117115
39;2;5;0.7344390763107301;0.16110276608715543;5;5;2;yes;0.9507362357581473
40;2;5;0.6807362375417476;0.2195884664735972;15;3;3;no;0.9492062181868768
41;2;3;0.6033207563625097;0.05275785288086209;3;3;1;no;0.9442265509622129
42;1;1;0.38752169924281166;0.07888812327878948;6;3;1;yes;0.9608944134704039
43;1;3;0.23441041183422684;0.031689300768117275;3;3;2;yes;0.955946410155897
44;2;3;0.4487361408583673;0.07401657885938251;9;5;1;yes;0.9558957148467553
45;1;1;0.748417235399314;0.047791024760658565;5;3;3;no;0.9463953582933196
46;1;1;0.02820592513792375;0.16498022483221902;9;3;1;no;0.9553179979404682
47;1;5;0.8479857164798715;0.2767398565482024;5;3;2;no;0.946191845141959
48;1;5;0.7744427705234594;0.0077892361905159725;5;5;1;no;0.967352062675741
49;2;3;0.32386626234274507;0.0222482905103473;3;5;1;yes;0.9425955192904353
50;1;1;0.0719617654448722;0.0849256083545266;9;5;2;yes;0.9455733669619639
51;1;1;0.05171913235551451;0.2579969157011891;14;3;1;no;0.9581495437810589
52;2;5;0.17511753069585845;0.21231428716852563;15;7;1;no;0.951816501933853
53;1;1;0.07494510159332601;0.27584042898472966;14;5;1;yes;0.9503919979257063
54;2;5;0.508260948295898;0.1725546198150847;10;3;3;no;0.9649497816332231
55;2;5;0.7569996499045172;0.26440731838506165;15;3;2;yes;0.9513394098305876
56;1;3;0.42679497325880367;0.24022977520705613;4;7;1;no;0.9416721115142461
57;2;5;0.09499052153353005;0.2617286755539036;5;5;1;yes;0.9651461883207881
58;1;1;0.5648587062550084;0.2695504874808111;1;3;3;yes;0.9600774335332604
59;2;3;0.8815757783055963;0.10237686746717355;9;5;1;no;0.949986804950301
60;2;3;0.6025559362515551;0.1109812066113672;1;5;3;no;0.9461908617864148
61;1;5;0.39150311751050326;0.043227465738188475;1;5;2;no;0.9607807997403801
62;2;3;0.6901591651285288;0.2328194263075655;9;3;2;no;0.952162073166451
63;1;3;0.9504085740433136;0.1339560791060215;14;7;3;yes;0.9542390398745703
64;1;5;0.7054747924319611;0.15839207163150834;11;7;1;yes;0.9425473840963399
65;1;5;0.05520391077645015;0.21068524685336443;2;7;2;yes;0.9464502974620826
66;1;5;0.09609036464207854;0.06936361815209803;12;3;2;yes;0.9502935445939477
67;1;3;0.4866255870103674;0.10089033606952093;9;3;2;no;0.9480645134763835
68;2;1;0.8887029117875948;0.19370390667153392;14;7;3;no;0.9521297230058591
69;1;3;0.05502238678998672;0.030850223344549104;4;5;2;no;0.962269598386736
70;2;5;0.916939543645147;0.2312657337804887;14;7;2;no;0.9562351948318141
