Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
84;2;5;0.9671768988630798;0.259672092114715;3;5;3;yes;0.8375
85;2;3;0.5325694594648469;0.23245674874734615;9;3;2;yes;0.8375
86;2;3;0.9597789421514541;0.2757394698059179;15;7;3;yes;0.8375
87;1;1;0.878333155602386;0.2775370517773398;7;7;1;yes;0.8375
88;1;3;0.21749810960394633;0.24466511803944585;13;3;1;no;0.8375
89;1;3;0.28125302060269863;0.24526352378080604;1;7;1;yes;0.8375
90;2;1;0.2588731838294419;0.01985699750419431;1;3;1;no;0.8375
91;2;1;0.0812771736949851;0.2308071439474906;4;7;2;yes;0.8375
92;2;1;0.7832941822331797;0.19524965788331214;15;3;1;no;0.8375
93;1;5;0.782008292568601;0.2211678624556521;4;3;2;no;0.8375
94;1;5;0.7313355642395635;0.2418012851737411;6;3;1;yes;0.8375
95;2;5;0.8629900791533472;0.01813554838368583;11;3;2;yes;0.8375
96;1;3;0.9739957861292207;0.25441724040100683;7;3;2;yes;0.8375
97;1;5;0.4708996893091053;0.14676495248554422;11;3;2;yes;0.8375
98;1;5;0.13084306192927675;0.15950523054053947;15;5;2;no;0.8375
99;2;3;0.4896468193288154;0.2994796870650548;4;5;1;yes;0.8375
100;2;5;0.017067293103943393;0.13303687696005898;6;5;1;no;0.8375
101;1;1;0.48937866694383436;0.2656402564756299;14;3;2;yes;0.8375
102;2;1;0.21943836821109508;0.279180880306896;8;7;2;no;0.8375
103;2;5;0.054391459735667724;0.19668106895727888;4;7;3;no;0.8375
104;2;1;0.30117067606264225;0.019492708081958802;13;7;3;no;0.8375
105;2;1;0.9899479176547265;0.056821512509610386;5;5;3;no;0.8375
106;2;5;0.13569382493812165;0.042565775844050725;2;7;3;yes;0.8375
107;2;5;0.9080012978466194;0.20928603892333286;1;5;3;no;0.8375
108;2;1;0.8693296647090486;0.06436916898163099;3;7;1;yes;0.8375
109;1;3;0.69182535868431;0.2881282582053533;8;3;2;no;0.8375
110;2;5;0.012875529917647843;0.04901688493612255;13;5;1;yes;0.8375
111;1;1;0.3395508763054852;0.10553407692396896;7;5;2;yes;0.8375
112;2;5;0.16209377086518706;0.2401236070522642;5;5;3;yes;0.8375
113;1;1;0.6866081846639164;0.04468885588805552;12;3;3;no;0.8375
114;2;3;0.8471074311488801;0.15274198546941176;2;3;3;no;0.8375
115;1;3;0.5070760892721002;0.18823357151455467;1;5;3;yes;0.8375
116;1;3;0.010702347318845451;0.27575645411008304;6;7;3;yes;0.8375
117;1;1;0.493936998172986;0.13224501441075553;10;3;2;no;0.8375
118;2;3;0.6155353204778287;0.034948568120049615;8;3;3;yes;0.8375
119;1;5;0.6182382328878864;0.2357150497574667;2;7;1;no;0.8375
120;2;5;0.880248665297495;0.26645885505467615;9;5;2;no;0.8375
121;2;5;0.367159780110894;0.25566380762219776;12;7;2;yes;0.8375
122;2;1;0.644490935285616;0.15098021780820123;11;5;3;no;0.8375
123;1;3;0.3609880296643857;0.017732006596421036;15;7;2;no;0.8375
124;1;5;0.36284396586517964;0.15829781999787101;7;3;2;no;0.8375
125;2;5;0.848996042607999;0.1723171984224446;6;5;2;no;0.8375
126;2;3;0.22765606390207405;0.05254053650161218;13;5;2;no;0.8375
127;1;3;0.5842297609052136;0.1863491280635676;12;7;1;no;0.8375
128;1;1;0.9207815299458553;0.20786888645055734;15;7;3;no;0.8375
129;2;5;0.5772008217492102;0.02048904605524212;8;5;1;yes;0.8375
130;1;1;0.4942264908318603;0.08480451796451237;14;3;2;yes;0.8375
131;2;5;0.22848528364401222;0.24192809159752446;10;5;2;yes;0.8375
132;1;5;0.8797007520720213;0.01699622898466787;10;7;2;no;0.8375
133;1;5;0.340228823034455;0.12279965474972876;13;3;3;yes;0.8375
134;1;1;0.5270761990256027;0.1586274549154651;8;5;1;no;0.8375
135;1;3;0.5065580811100161;0.17399082277696795;15;3;2;no;0.8375
136;2;1;0.6717511582539955;0.04235034153589883;13;5;3;yes;0.8375
137;2;5;0.3828983470470215;0.26464777877770107;7;5;2;no;0.8375
138;2;5;0.7309213225565955;0.09770132048156964;2;5;3;yes;0.8375
139;1;1;0.33419736162239266;0.07715028446316809;15;5;1;no;0.8375
140;2;1;0.32875654678377086;0.18016317165178725;6;7;1;yes;0.8375
141;1;5;0.9620555168704127;0.24761013756882763;5;5;3;yes;0.8375
142;2;5;0.4504842669355592;0.060708682061609544;13;5;2;yes;0.8375
143;2;3;0.010762131407550002;0.14202871341768203;9;3;2;no;0.8375
144;1;1;0.225378953950227;0.22588075585733822;10;5;2;no;0.8375
145;1;3;0.15223818140494627;0.21784845429440963;5;5;3;yes;0.8375
146;2;1;0.8386577735460446;0.138504098425953;7;7;3;yes;0.8375
147;1;3;0.14988516683360642;0.12119344297138429;4;3;1;yes;0.8375
148;2;5;0.07228277249124404;0.10882339189979669;6;5;2;no;0.8375
149;1;3;0.9013401353340291;0.16954395980709658;8;3;2;yes;0.8375
150;2;3;0.9746689431016445;0.026293008993604358;14;3;3;yes;0.8375
