Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
121;1;5;0.020243332124012414;0.14882362953207223;15;5;1;no;0.7468538747033694
122;2;1;0.15603136312875066;0.16325751368532956;4;3;1;yes;0.7327185025719356
123;2;1;0.892781295177145;0.03346903149330506;10;3;1;yes;0.85513144806412
124;1;1;0.13749581115046883;0.017548190019236184;9;5;2;no;0.7806613272185998
125;1;3;0.1593722896819476;0.13803649456951406;6;3;3;yes;0.741269934324994
126;2;5;0.06670261453196136;0.06166498574248575;4;3;2;no;0.8531093044121676
127;2;3;0.8592268234792387;0.26927084632432574;11;3;2;no;0.8458920099630183
128;2;1;0.16377949331991215;0.01016733245020366;1;7;3;no;0.7578605274724856
129;1;1;0.7047320633655106;0.12276737852023512;5;5;3;yes;0.7635909887967374
130;1;3;0.2699889316606767;0.20551687934761292;2;5;1;yes;0.8277057843557273
131;2;3;0.25511542981864577;0.09589836525855805;9;7;3;yes;0.7305420522878231
132;1;1;0.6464698067810924;0.16380082520821457;8;5;3;no;0.8226087111186037
133;2;3;0.4843558514004608;0.08003614724833012;12;5;3;yes;0.7797653808426814
134;1;1;0.48931754227027735;0.23613122537225778;15;7;2;yes;0.7726887767115167
135;2;5;0.14568123905213448;0.05138955285473917;2;7;2;no;0.8545177509286652
136;2;5;0.037395287415294964;0.1118155628171404;5;5;3;no;0.822112806011277
137;1;5;0.032625822347005395;0.03968094168838232;3;7;3;yes;0.8268726414701489
138;1;3;0.9774283632843339;0.2023693215636501;6;5;3;yes;0.750526231432418
139;1;3;0.9826578612706235;0.10999468974507742;3;5;1;no;0.8376763154238578
140;2;5;0.9525914235007785;0.22129740138666112;11;3;2;yes;0.784826536438677
141;2;3;0.3392502930531003;0.05196713326880942;15;5;3;yes;0.7746107554014467
142;2;1;0.6616188375701777;0.1901689552980492;15;3;2;no;0.7854279419363841
143;1;3;0.15095071727034348;0.002978697641914822;3;5;1;yes;0.7109359048536892
144;2;5;0.3667405336651828;0.053876137815845944;2;7;1;yes;0.8645383333333333
145;2;5;0.8363989646852408;0.037488490594575465;12;5;1;no;0.8466921112820305
146;1;1;0.6973836669781859;0.06372730623861017;13;5;2;no;0.8352895601857621
147;2;5;0.512060256496349;0.24168992211288992;5;5;2;yes;0.7132571453655643
148;1;5;0.7951229231368315;0.04199533330807583;15;3;1;yes;0.7892476560457196
149;1;1;0.09661354183736959;0.06499997033327387;2;3;2;yes;0.8645383333333333
150;2;3;0.9619738630395879;0.07227264350853249;9;5;1;no;0.8235957949897362
