Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
62;2;3;0.6922060638543882;0.16885205576562332;15;5;1;yes;0.8212870735852035
63;2;5;0.6036935598108416;0.25451524775704354;5;7;2;yes;0.8263538664350637
64;1;1;0.8943984057134861;0.1591376154432814975;6;5;1;yes;0.8494024756079613
65;1;5;0.8790730136692555;0.1450590181319156;13;7;1;no;0.8212195195238963
66;1;3;0.5630900674238669;0.04094975002475451;9;7;3;no;0.8312889209371268
67;1;3;0.08333315670042662;0.15079229977380948;4;7;3;yes;0.8483790963218433
68;1;3;0.9366645335916861;0.21412768564597384;2;3;3;yes;0.8193555892740371
69;2;5;0.10443910627315534;0.2802663298925103;8;7;1;no;0.8284356227520118
70;2;3;0.6639223577294827;0.1078638530871321;14;5;2;yes;0.83344848331437
71;1;5;0.79461296301659;0.17853290406289177;1;3;1;no;0.8102267278371214
72;1;5;0.2581286676055423;0.09500854836961936;3;7;3;no;0.8158244690747376
73;1;5;0.7045703500601644;0.1806141309220949;1;7;2;no;0.8162717477411828
74;1;1;0.007057014444728393;0.19804051817423032;10;3;2;no;0.8306412348917784
75;1;3;0.5701102721020141;0.14975013054968192;7;7;3;yes;0.8206512687531087
76;2;5;0.9021901189575131;0.10235724419919548;9;5;2;no;0.8149488824404898
77;2;5;0.22349261538344956;0.16134540113486404;2;5;3;no;0.8433533780600353
78;2;3;0.9746516211851397;0.004307032668174729;15;5;1;yes;0.8339345808255888
79;2;3;0.720815445149334;0.05696321909364802;15;3;2;yes;0.811137251379243
80;1;5;0.4913990555167388;0.2409435320476981;7;5;1;no;0.8413109697638518
81;2;3;0.22581481108537416;0.1862218351042828;7;3;3;no;0.8461433698739224
82;2;5;0.9782416386018883;0.11974017990296099;15;3;3;no;0.8454821419561601
83;1;5;0.3992539484859672;0.045500456250656345;9;3;1;yes;0.8480840247636408
84;2;3;0.8042268590055569;0.1653203787654522;10;7;3;yes;0.8439087866715496
85;1;3;0.6810725329570881;0.0065204769122473956;1;5;3;yes;0.825032004448842
86;2;1;0.46864974467824394;0.26655753524233233;15;7;3;no;0.8142695565478006
87;2;3;0.28008366955815034;0.10732876978517117;5;3;1;no;0.8138841824626344
88;2;5;0.17679867719176912;0.17134495646531825;13;3;2;no;0.8392877917313418
89;2;1;0.9042097028033683;0.2323612280418239;5;7;2;no;0.8329954201951661
90;1;3;0.4385949413053093;0.23826697632994914;6;3;3;yes;0.824785704285245
91;1;5;0.16464339239709092;0.1738136804010261;6;7;2;yes;0.84938286158329
92;2;1;0.45617908084659564;0.054212368177171275;7;3;1;no;0.8422321527189351
93;2;3;0.20213122915845827;0.00783204733642547;7;3;3;yes;0.84450780939201
94;1;5;0.9285298063610978;0.12277614931527688;15;5;3;no;0.8346708014259825
95;2;5;0.8356549049103182;0.10623914100287554;4;3;2;yes;0.8481092442366657
96;1;1;0.5552895025641429;0.171294389637552;3;5;1;yes;0.8235240454100744
97;2;1;0.48661090364105;0.18701219034776861;8;7;3;no;0.8348374794875201
98;1;3;0.1956484341382828;0.03058459634405363;8;7;1;yes;0.826651605375734
99;2;1;0.23925736092025351;0.08864498683240285;5;7;3;no;0.8307069643371504
100;2;5;0.07457651935619569;0.07210522459184056;11;3;1;no;0.8293535518441162
101;2;3;0.7554405841330546;0.16913420321735298;2;7;2;no;0.8261328726315051
102;1;3;0.13667211564221937;0.21807716167521757;15;3;2;no;0.8454139890945807
103;1;3;0.8537799580044134;0.017740228454479274;13;3;1;no;0.8101567021541489
104;1;5;0.15183785763212965;0.14048550671149196;5;5;1;yes;0.8106174251811818
105;1;5;0.5165583431500718;0.1451633222240224;11;3;1;yes;0.8328118464572485
106;2;3;0.26693303978555794;0.171307662724844;10;7;1;yes;0.8188844740417939
107;1;1;0.9181345290290219;0.059042863831791526;3;3;1;yes;0.8410821177743516
108;1;3;0.6791531502297582;0.036965016948939784;7;5;1;yes;0.8489818821035553
109;1;5;0.9339944981275574;0.23794759835611626;14;7;3;no;0.8161060163030378
110;2;5;0.051441256873487884;0.10016694658571902;14;7;2;no;0.8184947968776406
111;1;5;0.03743690179229531;0.09743165452932812;3;3;1;no;0.8192593604518303
112;1;3;0.28465459453875086;0.23070312351661165;4;7;1;yes;0.8386027810589107
113;2;5;0.7098262733522385;0.08126443229386479;5;3;2;yes;0.8179816642045404
114;2;5;0.6580334246384647;0.28713938342005724;15;7;3;yes;0.8151874253665721
115;1;3;0.5594421453939586;0.15341229714775048;3;7;3;no;0.8158107577037765
116;1;3;0.01691266745927955;0.07206461520079617;3;5;2;yes;0.8281959310226195
117;1;5;0.4829334662606395;0.2811081514661826;14;5;2;no;0.8364597041364398
118;2;1;0.2583665836890291;0.13805624924800108;4;3;1;no;0.8289849350135896
119;1;1;0.02260573295136714;0.1641595841652824;4;3;3;yes;0.8178548854607355
120;2;5;0.49100008756401703;0.1770164173725903;7;5;3;no;0.8343309547865012
121;2;1;0.8231986206835881;0.23512020442906909;4;7;1;no;0.8157894332386072
122;1;3;0.8394336566715231;0.09500376013545757;4;3;3;yes;0.8336924807620121
123;2;5;0.9150584944564144;0.24031834095474935;3;3;3;yes;0.8350080527114386
124;1;3;0.3578372559915661;0.17506881161847515;7;7;2;yes;0.8289840373061104
125;2;5;0.7288973662557203;0.15231664697829442;13;3;1;no;0.8343942546182066
126;1;1;0.10644218611284817;0.0940273263631906;6;5;3;yes;0.81413011901017
127;1;5;0.95351061861442;0.2060095412133331;2;5;1;yes;0.8148863778046502
128;2;5;0.34221064059657624;0.21126197272639685;4;5;3;yes;0.8481280574101216
129;2;1;0.8953757102720415;0.21683898144203068;12;3;1;no;0.811402292181959
130;2;5;0.4573107564625747;0.08142231456343793;15;3;2;yes;0.8442005188483663
131;1;5;0.09207604230460742;0.11015369272192405;4;3;2;yes;0.8370429338878977
132;1;1;0.7598954646867556;0.29190603520059966;9;5;3;yes;0.8366630149288456
133;2;3;0.9147126558756553;0.074562064969471;10;7;1;yes;0.8133008012928036
134;1;1;0.1897030566320821;0.14358465691474073;12;3;1;no;0.8118876659760397
135;1;3;0.5032352780025682;0.06247136711945647;14;3;2;yes;0.8167910875107169
136;2;3;0.3706021354180099;0.2215996427913995;7;7;2;yes;0.8444953285570008
137;2;5;0.9889185537006778;0.29126821291564714;2;5;3;no;0.8248104926621298
138;1;5;0.06343216161079879;0.05561286074724457;2;5;3;yes;0.840953421340803
139;1;1;0.8366310598293062;0.19695099226183913;5;7;3;yes;0.8459129751761139
140;2;3;0.6510058675897894;0.2966185372577207;1;7;2;no;0.8154614937028054
141;1;3;0.6933203146350927;0.13553897157413117;9;3;1;yes;0.847664378925273
142;2;5;0.08423296326282148;0.013455459759778543;4;7;2;no;0.8356513536507266
143;1;3;0.15611843424007066;0.19950600062236143;11;7;3;no;0.8403311814676548
144;1;1;0.08090743931171274;0.1967119340483848;6;5;1;yes;0.8234597477330698
145;1;5;0.8121370590467509;0.27761566026323603;11;7;3;yes;0.8427954615708664
146;1;1;0.8993135010612959;0.28357521908927297;6;7;1;no;0.8330110594898901
147;2;3;0.08146626541978019;0.15472830774318133;12;5;3;no;0.811432026509816
148;1;3;0.8256122664796224;0.2533504363028078;10;5;2;yes;0.8258028288028166
149;2;1;0.28485077868455366;0.1690565922535287;13;5;1;yes;0.812088567233973
150;1;3;0.500761120883821;0.08243373338469495;6;3;2;yes;0.8125611980274594
