Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
80;2;5;0.5401183085583431;0.17917496510220068;8;5;1;yes;0.8963797083210621
81;1;3;0.29221717973643757;0.21036220056942312;13;5;2;yes;0.8950604287296225
82;2;1;0.6340781217856635;0.29821282165048;5;3;3;yes;0.8490505085078447
83;2;3;0.8875220522173173;0.07145854357471194;13;3;1;yes;0.864197301669879
84;1;1;0.8649493092212303;0.03844976400026043;7;7;2;no;0.8533391791104676
85;2;5;0.982706473643428;0.1959141532701844;14;3;2;yes;0.8954389575559777
86;1;5;0.3588720035165036;0.18242063915218734;14;3;3;yes;0.8895138938480971
87;2;1;0.7456825672094799;0.14051356750011257;13;7;2;no;0.8503618309562373
88;2;3;0.8667950462633353;0.27266484883876413;2;3;3;yes;0.8471477321526099
89;2;5;0.6342030785685023;0.05148707934817499;7;7;1;no;0.8555195745992862
90;2;1;0.6643583792473323;0.010058817003059009;9;5;1;no;0.8673976135898033
91;1;5;0.32505614557859963;0.21829793831842348;7;3;3;no;0.8678743934560947
92;1;5;0.4237629217786295;0.10920309717396459;11;3;1;no;0.8963636760032666
93;1;3;0.5193795677450246;0.16340364166382781;8;3;1;yes;0.8256477581371885
94;1;3;0.28645635029605143;0.009471427341690004;9;3;3;no;0.8707699043709587
95;1;3;0.4244361441898583;0.09043952973033184;11;7;2;no;0.8112307639415242
96;2;3;0.6387524303145209;0.13432290799071628;7;3;1;no;0.8347352338816537
97;2;1;0.15384471794006405;0.016059861946326335;7;5;2;no;0.8191394480885013
98;2;3;0.9722961816654335;0.08818397481645773;6;7;2;no;0.8671194718123638
99;1;1;0.5732391569396952;0.14947602780040334;5;3;1;yes;0.8420135006341556
100;1;3;0.7063781029344358;0.20451516398000708;13;3;1;no;0.864676170622703
101;1;5;0.23197854201739276;0.04812729611435374;6;3;3;yes;0.900234521575985
102;1;1;0.9838998740656067;0.13170110228715426;11;3;1;yes;0.8967303569297863
103;1;3;0.5898341739752592;0.23528714650432817;9;7;2;yes;0.8591737398034276
104;1;3;0.5173434715126012;0.14952152902535407;7;3;2;no;0.8844372898331124
105;2;5;0.2871332619978041;0.03963827896058733;5;3;3;no;0.8220444221134049
106;2;3;0.36105592922422236;0.07821388443597398;5;7;3;yes;0.8405432909030818
107;2;5;0.3748732789708966;0.0592245331934321;3;7;3;no;0.8152408821504571
108;1;1;0.5928249663562442;0.018694104439774675;7;5;3;no;0.8133446922340298
109;2;5;0.2656843785487031;0.021926605460372423;10;5;2;yes;0.8405887507937089
110;1;3;0.8879993159725256;0.18537402000545108;14;5;1;yes;0.8368684802899297
